"ORGANIZATIONID","NAME","NEXTID","STARTDATE","EXPIRATIONDATE"
76,"University of Arizona",10,31-MAR-14 11.52.00.000000000 PM AMERICA/LOS_ANGELES,31-MAR-16 12.00.00.000000000 PM AMERICA/LOS_ANGELES
77,"Noble Foundation",2,31-MAR-14 11.52.00.000000000 PM AMERICA/LOS_ANGELES,31-DEC-15 12.00.00.000000000 PM AMERICA/LOS_ANGELES
80,"POSTECH",2,31-MAR-14 11.52.00.000000000 PM AMERICA/LOS_ANGELES,31-DEC-15 12.00.00.000000000 PM AMERICA/LOS_ANGELES
662,"China National Chemical Information Center",35242,01-APR-14 12.00.00.000000000 AM AMERICA/LOS_ANGELES,31-MAR-17 12.00.00.000000000 PM AMERICA/LOS_ANGELES
807,"Suzhou Health College of Technology",36316,01-APR-14 12.00.00.000000000 AM AMERICA/LOS_ANGELES,31-MAR-17 12.00.00.000000000 PM AMERICA/LOS_ANGELES
90,"Virginia Tech",10,30-APR-14 11.52.00.000000000 PM AMERICA/LOS_ANGELES,30-APR-20 12.00.00.000000000 PM AMERICA/LOS_ANGELES
91,"Helmholtz Zentrum Muenchen",2,31-MAR-14 11.52.00.000000000 PM AMERICA/LOS_ANGELES,31-MAR-16 12.00.00.000000000 PM AMERICA/LOS_ANGELES
94,"Copenhagen University",10,31-MAR-14 11.52.00.000000000 PM AMERICA/LOS_ANGELES,31-DEC-17 12.00.00.000000000 PM AMERICA/LOS_ANGELES
957,"Fujian Institute of Research on the Structure of Matter (CAS)",5,01-APR-14 12.00.00.000000000 PM AMERICA/LOS_ANGELES,31-MAR-17 12.00.00.000000000 PM AMERICA/LOS_ANGELES
102,"Google Inc.",8,01-APR-14 01.00.00.000000000 AM AMERICA/LOS_ANGELES,
4,"Bayer",3,01-JAN-14 12.00.00.000000000 AM AMERICA/LOS_ANGELES,31-DEC-15 12.00.00.000000000 PM AMERICA/LOS_ANGELES
9,"Cornell University",10,01-APR-14 12.00.00.000000000 AM AMERICA/LOS_ANGELES,31-MAR-21 12.00.00.000000000 PM AMERICA/LOS_ANGELES
12,"Gregor Mendel Institute",2,01-APR-14 12.00.00.000000000 AM AMERICA/LOS_ANGELES,31-MAR-16 12.00.00.000000000 PM AMERICA/LOS_ANGELES
20,"Leibniz Institute of Plant Biochemistry",2,01-APR-14 12.00.00.000000000 AM AMERICA/LOS_ANGELES,31-MAR-16 12.00.00.000000000 PM AMERICA/LOS_ANGELES
195,"Jawaharal Nehru University",17256,01-APR-14 12.00.00.000000000 AM AMERICA/LOS_ANGELES,31-MAR-16 12.00.00.000000000 PM AMERICA/LOS_ANGELES
781,"Shandong Entry-Exit Inspection Quarantine Bureau",36103,01-APR-14 12.00.00.000000000 AM AMERICA/LOS_ANGELES,31-MAR-17 12.00.00.000000000 AM AMERICA/LOS_ANGELES
785,"Shanghai Jiao Tong University",36152,01-APR-14 12.00.00.000000000 AM AMERICA/LOS_ANGELES,31-MAR-17 12.00.00.000000000 AM AMERICA/LOS_ANGELES
794,"Shaoxing University",36217,01-APR-14 12.00.00.000000000 AM AMERICA/LOS_ANGELES,31-MAR-17 12.00.00.000000000 AM AMERICA/LOS_ANGELES
801,"Songshan Lake Library",36247,01-APR-14 12.00.00.000000000 AM AMERICA/LOS_ANGELES,31-MAR-17 12.00.00.000000000 AM AMERICA/LOS_ANGELES
818,"The Shijiazhuang Second Hospital ",36374,01-APR-14 12.00.00.000000000 AM AMERICA/LOS_ANGELES,31-MAR-17 12.00.00.000000000 AM AMERICA/LOS_ANGELES
819,"Third Military Medical University",36377,01-APR-14 12.00.00.000000000 AM AMERICA/LOS_ANGELES,31-MAR-17 12.00.00.000000000 AM AMERICA/LOS_ANGELES
824,"Tianjin Polytechnic University",36391,01-APR-14 12.00.00.000000000 AM AMERICA/LOS_ANGELES,31-MAR-17 12.00.00.000000000 AM AMERICA/LOS_ANGELES
61,"UC Davis",36476,01-APR-14 12.00.00.000000000 AM AMERICA/LOS_ANGELES,31-MAR-17 12.00.00.000000000 AM AMERICA/LOS_ANGELES
63,"UC Los Angeles",36494,01-APR-14 12.00.00.000000000 AM AMERICA/LOS_ANGELES,31-MAR-17 12.00.00.000000000 AM AMERICA/LOS_ANGELES
64,"UC Merced",36499,01-APR-14 12.00.00.000000000 AM AMERICA/LOS_ANGELES,31-MAR-17 12.00.00.000000000 AM AMERICA/LOS_ANGELES
68,"UC Santa Cruz",36555,01-APR-14 12.00.00.000000000 AM AMERICA/LOS_ANGELES,31-MAR-17 12.00.00.000000000 AM AMERICA/LOS_ANGELES
832,"University of Essex",36581,01-AUG-14 12.00.00.000000000 AM AMERICA/LOS_ANGELES,31-JUL-16 12.00.00.000000000 PM AMERICA/LOS_ANGELES
835,"University of Shanghai for Science",36687,01-APR-14 12.00.00.000000000 AM AMERICA/LOS_ANGELES,31-MAR-17 12.00.00.000000000 AM AMERICA/LOS_ANGELES
840,"Wenzhou Medical College",36732,01-APR-14 12.00.00.000000000 AM AMERICA/LOS_ANGELES,31-MAR-17 12.00.00.000000000 AM AMERICA/LOS_ANGELES
855,"Xinxiang Medical University",36854,01-APR-14 12.00.00.000000000 AM AMERICA/LOS_ANGELES,31-MAR-17 12.00.00.000000000 AM AMERICA/LOS_ANGELES
865,"Zhejiang Sci-Tech University",36929,01-APR-14 12.00.00.000000000 AM AMERICA/LOS_ANGELES,31-MAR-17 12.00.00.000000000 AM AMERICA/LOS_ANGELES
641,"Agricultural Information and Rural Economy Institute of SAAS",35084,01-APR-14 12.00.00.000000000 AM AMERICA/LOS_ANGELES,31-MAR-17 12.00.00.000000000 AM AMERICA/LOS_ANGELES
663,"China National Institute of Standardization",35243,01-APR-14 12.00.00.000000000 AM AMERICA/LOS_ANGELES,31-MAR-17 12.00.00.000000000 AM AMERICA/LOS_ANGELES
666,"Chinese Academy of Agricultural Sciences Institute of Plant Protection",35277,01-APR-14 12.00.00.000000000 AM AMERICA/LOS_ANGELES,31-MAR-17 12.00.00.000000000 AM AMERICA/LOS_ANGELES
675,"East-China Institute of Technology",35382,01-APR-14 12.00.00.000000000 AM AMERICA/LOS_ANGELES,31-MAR-17 12.00.00.000000000 AM AMERICA/LOS_ANGELES
684,"Guangdong Institute of Science and Technology",35484,01-APR-14 12.00.00.000000000 AM AMERICA/LOS_ANGELES,31-MAR-17 12.00.00.000000000 AM AMERICA/LOS_ANGELES
594,"Guangzhou Institutes of Biomedicine and Health,Chinese Academy of Sciences",35500,01-APR-14 12.00.00.000000000 AM AMERICA/LOS_ANGELES,31-MAR-17 12.00.00.000000000 AM AMERICA/LOS_ANGELES
691,"Hainan Education and Research Digital Library",35551,01-APR-14 12.00.00.000000000 AM AMERICA/LOS_ANGELES,31-MAR-17 12.00.00.000000000 AM AMERICA/LOS_ANGELES
704,"Huaihai Institute of Technology",35629,01-APR-14 12.00.00.000000000 AM AMERICA/LOS_ANGELES,31-MAR-17 12.00.00.000000000 AM AMERICA/LOS_ANGELES
712,"Hunan University of Science and technology",35685,01-APR-14 12.00.00.000000000 AM AMERICA/LOS_ANGELES,31-MAR-17 12.00.00.000000000 AM AMERICA/LOS_ANGELES
603,"Institute of biomedical Engineering,Chinese Academy of Medical Sciences and Peking Union Medical College (CAMS & PUMC)",35760,01-APR-14 12.00.00.000000000 AM AMERICA/LOS_ANGELES,31-MAR-17 12.00.00.000000000 AM AMERICA/LOS_ANGELES
606,"Institute of Environment and Sustainable Development in Agriculture, CAAS",35772,01-APR-14 12.00.00.000000000 AM AMERICA/LOS_ANGELES,31-MAR-17 12.00.00.000000000 AM AMERICA/LOS_ANGELES
615,"Institute of Pathogen Biology, CAMS & PUMC",35795,01-APR-14 12.00.00.000000000 AM AMERICA/LOS_ANGELES,31-MAR-17 12.00.00.000000000 AM AMERICA/LOS_ANGELES
616,"Institute of Quality Standard and Testing Technology for Agro-Products, CAAS",35800,01-APR-14 12.00.00.000000000 AM AMERICA/LOS_ANGELES,31-MAR-17 12.00.00.000000000 AM AMERICA/LOS_ANGELES
723,"Institute of Scientific & Technical Information of Shaanxi",35801,01-APR-14 12.00.00.000000000 AM AMERICA/LOS_ANGELES,31-MAR-17 12.00.00.000000000 AM AMERICA/LOS_ANGELES
735,"Kashgar Teacher's College Library",35849,01-APR-14 12.00.00.000000000 AM AMERICA/LOS_ANGELES,31-MAR-17 12.00.00.000000000 AM AMERICA/LOS_ANGELES
754,"Montana State University",35953,01-JUL-14 12.00.00.000000000 AM AMERICA/LOS_ANGELES,30-JUN-17 12.00.00.000000000 AM AMERICA/LOS_ANGELES
771,"Panzhihua University Library",36043,01-APR-14 12.00.00.000000000 AM AMERICA/LOS_ANGELES,31-MAR-17 12.00.00.000000000 AM AMERICA/LOS_ANGELES
914,"Comoros",48341,01-APR-14 12.00.00.000000000 PM +08:00,
920,"Kenya",48964,01-APR-14 12.00.00.000000000 PM +08:00,
923,"Malawi",49139,01-APR-14 12.00.00.000000000 PM +08:00,
935,"Uganda",49867,01-APR-14 12.00.00.000000000 PM +08:00,
938,"University of York",3,01-NOV-14 12.00.00.000000000 PM AMERICA/LOS_ANGELES,31-OCT-15 12.00.00.000000000 PM AMERICA/LOS_ANGELES
950,"Oxford Brookes University",2,01-JAN-15 12.00.00.000000000 PM AMERICA/LOS_ANGELES,31-DEC-15 12.00.00.000000000 PM AMERICA/LOS_ANGELES
95,"New York University",10,15-APR-14 12.00.00.000000000 PM AMERICA/LOS_ANGELES,15-APR-16 12.00.00.000000000 PM AMERICA/LOS_ANGELES
1064,"Southern Illinois University Edwardsville",2,15-APR-15 12.00.00.000000000 PM AMERICA/LOS_ANGELES,31-MAR-16 12.00.00.000000000 PM AMERICA/LOS_ANGELES
1068,"Apple",2,01-APR-15 12.00.00.000000000 PM AMERICA/LOS_ANGELES,
978,"Art History Institute in Florence - Max-Planck-Institute",4,01-JAN-15 12.00.00.000000000 PM AMERICA/LOS_ANGELES,31-DEC-17 12.00.00.000000000 PM AMERICA/LOS_ANGELES
979,"Max Planck Institute for Astronomy",5,01-JAN-15 12.00.00.000000000 PM AMERICA/LOS_ANGELES,31-DEC-17 12.00.00.000000000 PM AMERICA/LOS_ANGELES
989,"Max Planck Innovation",50331,01-JAN-15 12.00.00.000000000 AM AMERICA/LOS_ANGELES,31-DEC-17 12.00.00.000000000 AM AMERICA/LOS_ANGELES
996,"Max Planck Institute for Comparative Public Law and International Law",50362,01-JAN-15 12.00.00.000000000 AM AMERICA/LOS_ANGELES,31-DEC-17 12.00.00.000000000 AM AMERICA/LOS_ANGELES
1032,"Max Planck Institute for Research on Collective Goods",50528,01-JAN-15 12.00.00.000000000 AM AMERICA/LOS_ANGELES,31-DEC-17 12.00.00.000000000 AM AMERICA/LOS_ANGELES
1035,"Max Planck Institute for Software Systems",50538,01-JAN-15 12.00.00.000000000 AM AMERICA/LOS_ANGELES,31-DEC-17 12.00.00.000000000 AM AMERICA/LOS_ANGELES
1053,"Max Planck Institute of Molecular Physiology",50610,01-JAN-15 12.00.00.000000000 AM AMERICA/LOS_ANGELES,31-DEC-17 12.00.00.000000000 AM AMERICA/LOS_ANGELES
1054,"Max Planck Institute of Molecular Plant Physiology",50614,01-JAN-15 12.00.00.000000000 AM AMERICA/LOS_ANGELES,31-DEC-17 12.00.00.000000000 AM AMERICA/LOS_ANGELES
199,"Jilin Academy of Agricultural Sciences",17298,01-APR-14 12.00.00.000000000 AM AMERICA/LOS_ANGELES,31-MAR-17 12.00.00.000000000 AM AMERICA/LOS_ANGELES
221,"Nanjing Xiaozhuang University",17475,01-APR-14 12.00.00.000000000 AM AMERICA/LOS_ANGELES,31-MAR-17 12.00.00.000000000 AM AMERICA/LOS_ANGELES
228,"North China University of Technology",17530,01-APR-14 12.00.00.000000000 AM AMERICA/LOS_ANGELES,31-MAR-17 12.00.00.000000000 AM AMERICA/LOS_ANGELES
235,"North West Normal University",17586,01-APR-14 12.00.00.000000000 AM AMERICA/LOS_ANGELES,31-MAR-17 12.00.00.000000000 AM AMERICA/LOS_ANGELES
237,"Northwest University",3,01-APR-14 12.00.00.000000000 AM AMERICA/LOS_ANGELES,31-MAR-17 12.00.00.000000000 PM AMERICA/LOS_ANGELES
241,"Qinzhou University",17615,01-APR-14 12.00.00.000000000 AM AMERICA/LOS_ANGELES,31-MAR-17 12.00.00.000000000 AM AMERICA/LOS_ANGELES
255,"Shijiazhuang University",17695,01-APR-14 12.00.00.000000000 AM AMERICA/LOS_ANGELES,31-MAR-17 12.00.00.000000000 AM AMERICA/LOS_ANGELES
256,"Sichuan Normal University",17711,01-APR-14 12.00.00.000000000 AM AMERICA/LOS_ANGELES,31-MAR-17 12.00.00.000000000 AM AMERICA/LOS_ANGELES
273,"The Research Institute of Pomology, CAAS",17898,01-APR-14 12.00.00.000000000 AM AMERICA/LOS_ANGELES,31-MAR-17 12.00.00.000000000 AM AMERICA/LOS_ANGELES
283,"University of Durham",17940,01-MAY-14 12.00.00.000000000 AM AMERICA/LOS_ANGELES,30-APR-20 12.00.00.000000000 PM AMERICA/LOS_ANGELES
287,"University of Washington",17979,16-MAY-14 12.00.00.000000000 AM AMERICA/LOS_ANGELES,15-MAY-16 12.00.00.000000000 PM AMERICA/LOS_ANGELES
289,"Weizmann Institute",17982,01-APR-14 12.00.00.000000000 AM AMERICA/LOS_ANGELES,31-MAR-20 12.00.00.000000000 PM AMERICA/LOS_ANGELES
303,"Zhengzhou Fruit Research Institute, CAAS",18072,01-APR-14 12.00.00.000000000 AM AMERICA/LOS_ANGELES,31-MAR-17 12.00.00.000000000 AM AMERICA/LOS_ANGELES
13,"Gustavus Adolphus College",3,01-APR-14 12.00.00.000000000 AM AMERICA/LOS_ANGELES,30-MAY-15 12.00.00.000000000 PM AMERICA/LOS_ANGELES
966,"University of Colorado at Denver",7,01-OCT-14 12.00.00.000000000 PM AMERICA/LOS_ANGELES,30-SEP-18 12.00.00.000000000 PM AMERICA/LOS_ANGELES
126,"Chinese Academy For Environmental Planning",16785,01-APR-14 12.00.00.000000000 AM AMERICA/LOS_ANGELES,31-MAR-17 12.00.00.000000000 AM AMERICA/LOS_ANGELES
130,"Chongqing University",10,01-APR-14 12.00.00.000000000 AM AMERICA/LOS_ANGELES,31-MAR-17 12.00.00.000000000 PM AMERICA/LOS_ANGELES
132,"Cold and Arid Regions Environmental and Engineering Research Institute, CAS",16828,01-APR-14 12.00.00.000000000 AM AMERICA/LOS_ANGELES,31-MAR-17 12.00.00.000000000 AM AMERICA/LOS_ANGELES
134,"Cotton Research Institute, CAAS",16851,01-APR-14 12.00.00.000000000 AM AMERICA/LOS_ANGELES,31-MAR-17 12.00.00.000000000 AM AMERICA/LOS_ANGELES
145,"Fujian Normal University",16939,01-APR-14 12.00.00.000000000 AM AMERICA/LOS_ANGELES,31-MAR-17 12.00.00.000000000 AM AMERICA/LOS_ANGELES
153,"Guangxi Mangrove Research Center",16975,01-APR-14 12.00.00.000000000 AM AMERICA/LOS_ANGELES,31-MAR-17 12.00.00.000000000 AM AMERICA/LOS_ANGELES
155,"Guangxi Normal University",16983,01-APR-14 12.00.00.000000000 AM AMERICA/LOS_ANGELES,31-MAR-17 12.00.00.000000000 AM AMERICA/LOS_ANGELES
160,"Guizhou Normal University",17015,01-APR-14 12.00.00.000000000 AM AMERICA/LOS_ANGELES,31-MAR-17 12.00.00.000000000 AM AMERICA/LOS_ANGELES
166,"Hebei Normal University",17076,01-APR-14 12.00.00.000000000 AM AMERICA/LOS_ANGELES,31-MAR-17 12.00.00.000000000 AM AMERICA/LOS_ANGELES
27,"National Institute for Environmental Studies (NIES)",2,01-APR-14 12.00.00.000000000 AM AMERICA/LOS_ANGELES,31-MAR-16 12.00.00.000000000 PM AMERICA/LOS_ANGELES
37,"SUNY Stony Brook",3,01-APR-14 12.00.00.000000000 AM AMERICA/LOS_ANGELES,31-MAR-16 12.00.00.000000000 PM AMERICA/LOS_ANGELES
53,"University of Regensburg",2,01-APR-14 12.00.00.000000000 AM AMERICA/LOS_ANGELES,31-MAR-16 12.00.00.000000000 PM AMERICA/LOS_ANGELES
41,"Universitaetsbibliothek Erlangen Nuremberg",6,01-APR-14 12.00.00.000000000 AM AMERICA/LOS_ANGELES,31-MAR-16 12.00.00.000000000 PM AMERICA/LOS_ANGELES
15,"Helsinki University Central Hospital",3,01-APR-14 12.00.00.000000000 AM AMERICA/LOS_ANGELES,31-DEC-15 12.00.00.000000000 PM AMERICA/LOS_ANGELES
56,"University of Wisconsin Madison",10,01-APR-14 12.00.00.000000000 AM AMERICA/LOS_ANGELES,31-MAR-16 12.00.00.000000000 PM AMERICA/LOS_ANGELES
18,"James Hutton Institute",4,01-APR-14 12.00.00.000000000 AM AMERICA/LOS_ANGELES,31-MAR-16 12.00.00.000000000 PM AMERICA/LOS_ANGELES
73,"Institute of Biochemistry and Biophysics Polish Academy of Sciences",2,09-APR-14 11.52.00.000000000 PM AMERICA/LOS_ANGELES,09-APR-16 12.00.00.000000000 PM AMERICA/LOS_ANGELES
92,"Donald Danforth Plant Science Center",2,31-MAR-14 11.52.00.000000000 PM AMERICA/LOS_ANGELES,31-DEC-15 12.00.00.000000000 PM AMERICA/LOS_ANGELES
648,"Beijing Information Science & Technology University",8,01-APR-14 12.00.00.000000000 AM AMERICA/LOS_ANGELES,31-MAR-17 12.00.00.000000000 PM AMERICA/LOS_ANGELES
1,"Agriculture and Agri-Food Canada",10,01-APR-14 12.00.00.000000000 AM AMERICA/LOS_ANGELES,31-MAR-16 12.00.00.000000000 PM AMERICA/LOS_ANGELES
7,"CNRS",3,01-APR-14 12.00.00.000000000 AM AMERICA/LOS_ANGELES,31-DEC-15 12.00.00.000000000 PM AMERICA/LOS_ANGELES
8,"Cold Spring Harbor Laboratory",2,01-APR-14 12.00.00.000000000 AM AMERICA/LOS_ANGELES,31-DEC-15 12.00.00.000000000 PM AMERICA/LOS_ANGELES
11,"DuPont/Pioneer",10,01-JAN-14 12.00.00.000000000 AM AMERICA/LOS_ANGELES,31-DEC-15 12.00.00.000000000 PM AMERICA/LOS_ANGELES
177,"Hybrid Rape Research Center of Shaanxi Province",17189,01-APR-14 12.00.00.000000000 AM AMERICA/LOS_ANGELES,31-MAR-17 12.00.00.000000000 AM AMERICA/LOS_ANGELES
179,"Inner Mongolia Academy of Agriculture Animal Husbandry Science",17203,01-APR-14 12.00.00.000000000 AM AMERICA/LOS_ANGELES,31-MAR-17 12.00.00.000000000 AM AMERICA/LOS_ANGELES
190,"Institute of Ningxia Academy of Agriculture and Agricultural Science and Technology Information",17236,01-APR-14 12.00.00.000000000 AM AMERICA/LOS_ANGELES,31-MAR-17 12.00.00.000000000 AM AMERICA/LOS_ANGELES
191,"Institute of Oceanology, CAS",17245,01-APR-14 12.00.00.000000000 AM AMERICA/LOS_ANGELES,31-MAR-17 12.00.00.000000000 AM AMERICA/LOS_ANGELES
192,"Institute of Scientific and Technical Information of China ",17247,01-APR-14 12.00.00.000000000 AM AMERICA/LOS_ANGELES,31-MAR-17 12.00.00.000000000 AM AMERICA/LOS_ANGELES
778,"Rothamsted",36097,01-APR-14 12.00.00.000000000 AM AMERICA/LOS_ANGELES,31-MAR-16 12.00.00.000000000 PM AMERICA/LOS_ANGELES
783,"Shanghai Academy of Agricultural Sciences",36105,01-APR-14 12.00.00.000000000 AM AMERICA/LOS_ANGELES,31-MAR-17 12.00.00.000000000 AM AMERICA/LOS_ANGELES
808,"Suzhou Science and Technology Service Center",36318,01-APR-14 12.00.00.000000000 AM AMERICA/LOS_ANGELES,31-MAR-17 12.00.00.000000000 AM AMERICA/LOS_ANGELES
810,"Syracuse University",36332,01-SEP-14 12.00.00.000000000 AM AMERICA/LOS_ANGELES,31-AUG-16 12.00.00.000000000 PM AMERICA/LOS_ANGELES
812,"Teda Polytechnic",36340,01-APR-14 12.00.00.000000000 AM AMERICA/LOS_ANGELES,31-MAR-17 12.00.00.000000000 AM AMERICA/LOS_ANGELES
814,"The Center for Disease Control and Prevention of Xinjiang Uygur Autonomous Region",36344,01-APR-14 12.00.00.000000000 AM AMERICA/LOS_ANGELES,31-MAR-17 12.00.00.000000000 AM AMERICA/LOS_ANGELES
815,"The Lanzhou Branch of the National Science ",36346,01-APR-14 12.00.00.000000000 AM AMERICA/LOS_ANGELES,31-MAR-17 12.00.00.000000000 AM AMERICA/LOS_ANGELES
823,"Tianjin Internatonal Joint Academy of Biotechnology and Medicine",36384,01-APR-14 12.00.00.000000000 AM AMERICA/LOS_ANGELES,31-MAR-17 12.00.00.000000000 AM AMERICA/LOS_ANGELES
826,"Tianjin University of Technology ",36407,01-APR-14 12.00.00.000000000 AM AMERICA/LOS_ANGELES,31-MAR-17 12.00.00.000000000 AM AMERICA/LOS_ANGELES
836,"University of Toronto",36701,01-AUG-14 12.00.00.000000000 AM AMERICA/LOS_ANGELES,30-APR-16 12.00.00.000000000 PM AMERICA/LOS_ANGELES
842,"Wuhan University of Science and Engineering",36758,01-APR-14 12.00.00.000000000 AM AMERICA/LOS_ANGELES,31-MAR-17 12.00.00.000000000 AM AMERICA/LOS_ANGELES
845,"Xi'an Polytechnic University",36780,01-APR-14 12.00.00.000000000 AM AMERICA/LOS_ANGELES,31-MAR-17 12.00.00.000000000 AM AMERICA/LOS_ANGELES
860,"Yulin Normal University",36900,01-APR-14 12.00.00.000000000 AM AMERICA/LOS_ANGELES,31-MAR-17 12.00.00.000000000 AM AMERICA/LOS_ANGELES
866,"ZheJiang University",36964,01-APR-14 12.00.00.000000000 AM AMERICA/LOS_ANGELES,31-MAR-17 12.00.00.000000000 PM AMERICA/LOS_ANGELES
586,"Agro-Environmental Protection Institute, Ministry of Agriculture",35085,01-APR-14 12.00.00.000000000 AM AMERICA/LOS_ANGELES,31-MAR-17 12.00.00.000000000 AM AMERICA/LOS_ANGELES
590,"China Academy of Railway Sciences, Institute of Scientific and Technical Information",35227,01-APR-14 12.00.00.000000000 AM AMERICA/LOS_ANGELES,31-MAR-17 12.00.00.000000000 AM AMERICA/LOS_ANGELES
664,"China Population and Development Research Center",35245,01-APR-14 12.00.00.000000000 AM AMERICA/LOS_ANGELES,31-MAR-17 12.00.00.000000000 AM AMERICA/LOS_ANGELES
672,"Dalian Fisheries University",35345,01-APR-14 12.00.00.000000000 AM AMERICA/LOS_ANGELES,31-MAR-17 12.00.00.000000000 AM AMERICA/LOS_ANGELES
679,"Fujian Institute of Education",35410,01-APR-14 12.00.00.000000000 AM AMERICA/LOS_ANGELES,31-MAR-17 12.00.00.000000000 AM AMERICA/LOS_ANGELES
690,"Guilin University of Technology",35527,01-APR-14 12.00.00.000000000 AM AMERICA/LOS_ANGELES,31-MAR-17 12.00.00.000000000 AM AMERICA/LOS_ANGELES
692,"Hainan Software Vocational and Technical College Library",35554,01-APR-14 12.00.00.000000000 AM AMERICA/LOS_ANGELES,31-MAR-17 12.00.00.000000000 AM AMERICA/LOS_ANGELES
693,"Harbin Industrial University",35569,01-APR-14 12.00.00.000000000 AM AMERICA/LOS_ANGELES,31-MAR-17 12.00.00.000000000 AM AMERICA/LOS_ANGELES
700,"Henan Normal University",35604,01-APR-14 12.00.00.000000000 AM AMERICA/LOS_ANGELES,31-MAR-17 12.00.00.000000000 AM AMERICA/LOS_ANGELES
707,"Huazhong University of Science and Technology",35661,01-APR-14 12.00.00.000000000 AM AMERICA/LOS_ANGELES,31-MAR-17 12.00.00.000000000 AM AMERICA/LOS_ANGELES
717,"Inner Mongolia Industrial University",35712,01-APR-14 12.00.00.000000000 AM AMERICA/LOS_ANGELES,31-MAR-17 12.00.00.000000000 AM AMERICA/LOS_ANGELES
